Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2
coconut puddinpie,desserts	pies,1 pie,"2 tb soft butter	1 c  sifted confectioners sugar	3    eggs separated	1/2 ts vanilla	1/2 c  evaporated milk, undiluted	1/8 ts salt	2 c  freshly grated coconut	pn ground nutmeg	1    9 inch pie shell, baked","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until smooth . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large bowl , combine the sugar , cinnamon , and salt . mix well . in a separate bowl , beat egg and sugar until foamy . add the egg and vanilla . mix well . add the egg and vanilla . mix well . add the egg and vanilla . mix well . add the egg and vanilla . mix well . in a separate bowl , beat the egg , and the egg . add the cream and the eggs . mix the sugar and the sugar . stir in the cream and the nuts",combine all ingredients in a large saucepan bring to a boil over low heat stirring constantly until the mixture thickens and thickens stirring constantly remove from heat and stir in the cream and vanilla and mix well add the sugar and beat until stiff and fold into the egg mixture pour into a pie shell bake at f for minutes or until the toothpick inserted in center comes out clean cool minutes before removing rim of pan <EOS>,in a large bowl combine the sugar and salt and pepper in a medium bowl add the flour and salt and pepper to taste and mix well add the flour and mix well add the flour and salt and taste and mix well add the flour and the egg mixture and beat until the mixture is smooth and elastic and about minutes rrb add the flour and the egg whites and the egg whites and the egg whites and the egg whites
colombo curry paste martinique,spice mix,1 /2 cup,1 1/2 tb turmeric	1 1/2 tb coriander seeds	1 1/2 tb black mustard seeds	1 1/2 tb black peppercorns	1 1/2 tb cumin seeds	3    garlic cloves peeled and grated	2    fresh habenero chilies or ed jalape?o peppers seeds and stems removed minced,"in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9","in a large bowl , combine all ingredients except lettuce . mix well . in a separate bowl , combine all ingredients except garlic , and stir well . add remaining ingredients . stir in remaining ingredients . cover and refrigerate until",combine all ingredients in a blender container and blend until smooth return to pot and add to the sauce mixture and cook stirring occasionally until the mixture thickens slightly thickened and serve with,in a large skillet over medium heat add the onion and garlic and cook until the onion is tender add the garlic and cook for minutes add the onion and cook for minutes
confetti zucchini relish,condiments	vegetables,16 half-pints.,"10 c  zucchini, chopped	4 c  onion, chopped	5 tb salt	1    sweet red pepper, chopped	1    green pepper, chopped	3 c  sugar	2 tb cornstarch	1 tb turmeric	2 ts dry mustard	2 ts celery seed	1/2 ts pepper	2 1/2 c  cider vinegar",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large bowl , combine all ingredients . add the remaining ingredients . mix well . add the remaining ingredients . cover and refrigerate for at least 1 hour .  <EOS>",combine all ingredients in a blender container cover and refrigerate for at least hours or overnight <EOS>,in a large skillet over medium heat add the onion and garlic and cook for minutes add the onion and cook for minutes add the onion and cook for minutes add the rice and cook over low heat for minutes add the remaining ingredients and cook for minutes add
cook up an oriental hot pot,appetizers	beef	chinese,4 servings,"1 lb raw shrimp, peeled and deveined	2    chicken breasts, skinned, boned, and sliced very thin, across grain	1/2 lb beef sirloin sliced very thin, across grain	1/2    head chinese cabbage or 1 lettuce heart, coarsely cubed	1 c  cubed egg plant or 1 5-ounce can (2/3 cup) water chestnuts, rained and thinly sliced	1 1/2 c  halved fresh mushrooms	4 c  small spinach leaves (stems removed)	14 oz cans (5 1/4 cups) chicken broth	3    chicken bouillon cubes	1 tb monosodium glutamate	1/2 tb grated gingerroot or 1/2 teaspoon ground ginger",TRIMMED DATA,TRIMMED DATA,TRIMMED DATA,TRIMMED DATA
cookies n creme pie,pies	desserts,1 pie,1    7-oz. cookies 'n' creme bar or ookies 'n' creme nuggets	1/2 c  milk	1 1/2 c  miniature marshmallows	3 1/2 c  non-dairy whipped topping  thawed	1    6-oz. chocolate crumb crust	sweetened whipped cream; or on-dairy whipped topping,"in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","mix together the flour , salt , and milk . add the milk and mix well . pour into a greased 9 x 13 x 9 x 13 '' pan . bake at 350 deg . for about 20 minutes .  <EOS>",combine milk and milk in a large saucepan bring to a boil over high heat reduce heat to low and simmer for minutes or until the mixture thickens and thickens add the cream and stir until the mixture thickens and the mixture thickens and the consistency of the mixture thickens and the mixture thickens stirring constantly remove from heat and add the cream and stir until the mixture thickens and the mixture thickens and the mixture,in a large bowl combine the sugar and salt and the sugar in a medium sized bowl add the flour and salt and the egg whites and beat until the mixture is smooth and elastic and about minutes rrb add the flour and the egg whites and the egg whites and the egg whites and the egg whites add the egg whites and the egg whites and the egg whites and the egg whites and the
cooking lights bread stuffing,cyberealm	side dishes	low-cal	low-fat,10 servings,"1    (16 oz) load french bread, cut into 1 inch cubes	3 tb reduced-calorie stick	.margarine	1 1/2 c  chopped celery	3/4 c  chopped onion	1/4 c  water	1/2 ts salt	1/2 ts rubbed sage	1/2 ts dried thyme	1/4 ts pepper	1    (10 1/2 oz) can low-salt	.chicken broth	vegetable cooking spray","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large skillet , heat the oil over medium-high heat . add the onion , celery , carrots , onion , and garlic . cook over medium heat until the vegetables are tender . add the remaining ingredients . cook over low heat until the vegetables are cooked . add the remaining ingredients . cover and simmer for about 20 minutes .  <EOS>",in a large saucepan combine the broth celery onion and celery in a large saucepan add the broth and cook until the mixture thickens stirring constantly remove from heat and add the broth and bring to a boil reduce heat and simmer for minutes or until the liquid has evaporated add the broth and cook for minutes add the broth and cook stirring until the mixture thickens and thickens stirring constantly remove from heat and stir in the,in a large skillet over medium heat add the onion and saute until the onion is tender add the garlic and cook for minutes add the tomatoes and cook for minutes add the tomatoes and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes
cooking vanilla,mixes,1 servings,1    bottle straight	bourbon whisky -- (750 ml)	4    vanilla beans,"in a large bowl , combine the flour , baking powder , salt , and salt . add the flour and mix well . add the remaining ingredients and mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x","in a large skillet , heat the oil over medium-high heat . add the onion and cook until golden brown . add the chopped onion and cook over low heat until the sugar is dissolved . add the remaining ingredients . stir in the cream cheese , and the cheese . stir in the chopped almonds .  <EOS>",combine first ingredients in a blender container cover and refrigerate overnight <EOS>,in a large bowl combine the sugar and salt and taste in a saucepan bring to a boil and cook for minutes add the water and bring to a boil and cook for minutes add the water and bring to a boil and cook for minutes add the rice and stir to cook for minutes add the rice and stir to cook for minutes add the rice and stir fry for minutes add the remaining ingredients
corn meal dough,mexican,8 servings,"4 c  corn meal	2 ts salt	8 c  water	2    eggs, well beaten	4 tb butter","in a large skillet , heat oil in a skillet over medium heat . add the onions and cook until the mixture is tender . add the garlic and cook until the mixture is","in a large bowl , combine all ingredients . mix well . in a small bowl , combine the sugar , cinnamon , and salt . mix well . add the egg and mix",in a large bowl combine the first ingredients in a mixing bowl add the corn syrup and the water and mix well add the water to the,in a large bowl combine the flour and salt and pepper in a large bowl add the eggs and stir until well blended add the flour and
corn relish la times,relishes	vegetables,1 servings,"20    ears tender corn; -=or=-	2 1/2 qt -frozen whole kernel corn,  (thawed)	1 1/4 c  chopped onions	1 c  chopped green bell peppers	1 c  chopped red bell peppers	1 c  chopped celery	2 2/3 c  white vinegar	2 c  water	1 1/2 c  sugar	4 1/2 ts mustard seeds	1 tb salt	1 ts celery seeds	1/2 ts ground turmeric","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9","in a large bowl , combine all ingredients . mix well . add remaining ingredients . cover and refrigerate until ready to serve .  <EOS>",in a large saucepan bring water to a boil over medium heat add the water to the pan and cook for minutes or until the onions are tender drain the pasta and rinse with cold water drain the peppers and cut into inch lengths combine the corn syrup and the salt in a large saucepan bring to a boil reduce heat and simmer for minutes or until the mixture thickens slightly add the corn and celery and cook,in a large bowl combine the flour and salt and pepper in a large bowl add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic and the mixture is smooth and elastic and about minutes rrb add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture
bongo bongo soup,soup/stew	fish/seafoo,4 servings,1 c  fresh oysters -- shucked	1 tb cornstarch	1/2 c  spinach -- chopped	1/2 c  water	1 qt milk	1 ts salt	2 tb butter	1/2 ts pepper	1 ts a-1? steak sauce	1/2 c  whipping cream -- whipped,"in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until smooth . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large bowl , combine all ingredients . mix well . pour into pie plate . bake at 350 deg . for 45 minutes or until golden brown .  <EOS>",combine first ingredients in a large saucepan bring to a boil and cook until the mixture thickens stirring constantly remove from heat and stir in the cream and cream and stir until the mixture is thickened and bubbly stir in the cream and cream and continue to cook stirring occasionally until the,in a large skillet over medium heat add the onion and cook until the onion is tender add the onion and cook for minutes add the onion and cook until the onion is tender add the garlic and cook until the meat is tender add the cooked rice and stir fry for
